Date,Time,WESTMEAD CO 1h average [ppb],WESTMEAD HUMID 1h average [%],WESTMEAD NEPH 1h average [bsp],WESTMEAD NO 1h average [ppb],WESTMEAD NO2 1h average [ppb],WESTMEAD NOX 1h average [ppb],WESTMEAD OZONE 1h average [ppb],WESTMEAD PM10 1h average [ug/m3],WESTMEAD SD1 1h average [degr],WESTMEAD SO2 1h average [ppb],WESTMEAD SOLAR 1h average [W/m2],WESTMEAD TEMP 1h average [degrC],WESTMEAD WDR 1h average [degr],WESTMEAD WSP 1h average [m/s]
7/02/2011,1:00,,70.00,0.12,-0.67,6.10,5.43,10.02,,77.42,0.36,687.68,17.69,192.70,0.64
7/02/2011,2:00,,72.88,0.15,-0.78,2.66,1.88,15.20,,35.40,0.38,716.38,17.55,194.00,1.53
7/02/2011,3:00,,70.17,0.15,-0.83,2.92,2.09,14.91,,39.85,0.41,689.73,17.66,178.56,1.26
7/02/2011,4:00,,65.71,0.14,-0.77,4.87,4.10,12.05,,39.77,0.69,645.27,17.96,204.47,1.09
7/02/2011,5:00,,62.75,0.11,-1.11,5.36,4.25,12.34,,41.10,1.05,615.53,17.62,192.45,1.10
7/02/2011,6:00,,63.59,0.12,-0.86,7.81,6.95,9.91,,31.77,1.01,623.75,17.66,185.77,1.46
7/02/2011,7:00,,64.33,0.11,0.40,8.29,8.70,9.53,,33.46,0.85,631.30,17.53,188.12,1.59
7/02/2011,8:00,,61.22,0.11,1.01,7.46,8.46,10.56,,34.95,0.88,600.54,18.27,201.99,1.21
7/02/2011,9:00,,57.68,0.11,1.92,7.24,9.16,11.14,,36.53,0.66,565.44,19.09,215.18,1.27
7/02/2011,10:00,,55.04,0.11,3.13,7.40,10.53,11.69,,74.28,0.35,539.05,19.96,219.75,0.61
7/02/2011,11:00,,53.42,0.12,5.13,8.20,13.34,12.48,,83.09,0.55,522.93,20.75,93.40,0.49
7/02/2011,12:00,,51.44,0.12,3.57,7.54,11.11,17.51,,71.62,1.60,503.88,22.04,123.35,0.72
7/02/2011,13:00,,50.63,0.11,1.19,5.13,6.32,21.62,,76.29,0.22,494.72,22.58,105.74,0.94
7/02/2011,14:00,,52.16,0.13,1.68,7.06,8.74,20.07,,35.42,0.17,510.45,22.43,114.47,1.69
7/02/2011,15:00,,58.43,0.16,1.93,11.82,13.75,17.51,,25.56,2.24,572.99,21.51,117.30,2.52
7/02/2011,16:00,,61.05,0.13,0.94,7.25,8.19,18.00,18.64,19.76,0.30,599.27,21.41,117.85,2.54
7/02/2011,17:00,,64.44,0.13,1.46,9.75,11.21,14.70,26.08,21.85,2.56,632.51,20.88,119.18,2.70
7/02/2011,18:00,,64.84,0.10,0.79,8.86,9.65,12.77,17.61,19.70,1.40,636.39,20.65,121.66,2.29
7/02/2011,19:00,,65.32,0.10,-0.49,7.73,7.24,13.33,14.93,27.09,0.68,640.99,20.50,92.44,1.48
7/02/2011,20:00,,67.02,0.11,-0.81,7.85,7.04,13.01,15.27,23.99,0.74,657.91,20.40,96.85,1.28
7/02/2011,21:00,,69.48,0.10,-0.83,6.44,5.61,14.64,12.66,27.59,0.07,682.44,20.01,73.46,1.45
7/02/2011,22:00,,67.89,0.08,-0.83,4.55,3.72,16.35,10.92,32.20,-0.10,666.55,20.00,111.98,0.84
7/02/2011,23:00,,68.12,0.08,-0.76,4.90,4.14,15.36,9.89,68.32,-0.12,668.91,20.04,228.66,0.15
7/02/2011,24:00:00,,70.10,0.08,-1.12,4.96,3.84,14.28,9.94,52.93,-0.11,688.61,19.85,227.92,0.23
8/02/2011,1:00,,72.85,0.12,-1.10,8.92,7.82,10.21,14.24,24.09,0.36,716.07,19.61,205.87,0.71
8/02/2011,2:00,,74.16,0.14,-0.91,7.20,6.29,11.95,14.91,27.54,0.21,729.23,19.34,197.29,0.54
8/02/2011,3:00,,78.53,0.14,-1.18,7.71,6.53,10.86,15.76,62.55,0.19,772.48,18.09,162.61,0.20
8/02/2011,4:00,,81.85,0.15,-1.00,10.30,9.31,6.33,16.78,69.47,0.09,806.10,17.29,150.71,0.31
8/02/2011,5:00,,77.09,0.17,3.38,16.55,19.93,0.71,18.44,68.51,0.40,758.54,17.99,179.47,0.30
8/02/2011,6:00,,81.12,0.18,5.79,15.83,21.62,0.51,17.65,70.62,0.38,798.39,17.36,236.05,0.12
8/02/2011,7:00,,74.69,0.24,33.73,17.36,51.08,1.37,24.31,92.83,0.96,735.05,18.96,183.27,0.22
8/02/2011,8:00,,60.19,0.22,16.11,14.34,30.45,6.33,26.67,36.19,1.72,590.10,22.01,199.02,1.00
8/02/2011,9:00,,59.17,0.18,5.55,10.53,16.08,12.44,22.55,32.36,2.89,579.76,21.98,187.33,1.14
8/02/2011,10:00,,57.56,0.16,5.81,11.55,17.36,13.35,23.63,47.26,1.67,564.84,22.55,182.92,1.05
8/02/2011,11:00,,54.54,0.15,3.59,9.07,12.65,17.98,22.40,44.47,3.43,534.75,23.37,160.11,1.35
8/02/2011,12:00,,54.06,0.12,3.91,8.13,12.04,18.66,20.70,27.57,5.82,529.61,23.24,140.06,2.49
8/02/2011,13:00,,55.41,0.11,2.51,6.07,8.58,21.35,18.60,21.34,5.94,543.02,23.38,134.59,3.37
8/02/2011,14:00,,54.53,0.13,1.68,6.23,7.91,21.58,24.54,24.09,3.10,534.74,23.48,124.13,3.27
8/02/2011,15:00,,50.76,0.11,0.50,3.93,4.43,24.28,17.92,25.18,0.35,496.99,24.35,108.76,3.16
8/02/2011,16:00,,48.88,0.12,0.56,4.64,5.21,25.27,17.06,29.97,0.23,478.15,24.39,103.75,2.73
