Timestamp,m/z 31,m/z 33,m/z 41,m/z 42,m/z 43,m/z 45,m/z 47,m/z 57,m/z 59,m/z 61,m/z 69,m/z 71,m/z 73,m/z 75,m/z 79,m/z 81,m/z 83,m/z 87,m/z 93,m/z 105,m/z 107,m/z 121,m/z 137,,
MDL,1.524,0.855,0.062,0.052,0.278,0.174,0.128,0.114,0.132,0.140,0.169,0.074,0.056,0.056,0.102,0.140,0.059,0.064,0.093,0.076,0.093,0.106,0.402,,
,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2011 17:00,2.607,3.455,0.568,0.091,2.832,1.053,0.510,0.249,1.228,0.883,0.829,0.304,0.227,0.092,0.215,0.225,0.066,0.097,0.432,<mdl,0.271,0.144,<mdl,,
18/02/2011 18:00,2.569,3.298,1.087,0.118,4.116,1.182,0.451,0.425,1.327,0.826,0.861,0.238,0.281,0.082,0.268,0.238,0.078,0.096,0.564,<mdl,0.370,0.155,<mdl,,
18/02/2011 19:00,1.653,3.022,0.848,0.116,3.295,1.168,0.427,0.505,1.200,0.685,0.352,<mdl,0.202,0.075,0.267,0.176,0.080,0.079,0.613,<mdl,0.384,0.158,<mdl,,
18/02/2011 20:00,<mdl,2.904,0.746,0.098,2.945,0.884,0.371,0.503,0.979,0.599,0.229,<mdl,0.301,0.063,0.274,<mdl,0.073,0.067,0.574,<mdl,0.406,0.166,<mdl,,
18/02/2011 21:00,<mdl,3.001,0.821,0.127,3.209,0.653,0.384,0.375,1.094,0.562,<mdl,<mdl,0.413,0.059,0.239,0.157,<mdl,0.064,0.490,<mdl,0.311,0.151,<mdl,,
18/02/2011 22:00,<mdl,3.018,0.265,0.093,1.571,0.335,0.350,0.718,1.019,0.448,<mdl,<mdl,0.228,0.063,0.105,0.162,<mdl,<mdl,0.368,<mdl,0.285,0.138,<mdl,,
19/02/2011 4:00,7.078,4.429,0.910,0.178,1.840,0.924,0.412,1.160,1.717,0.298,0.383,0.107,0.320,0.058,0.378,1.575,0.101,0.098,2.226,<mdl,0.886,0.413,1.675,,
19/02/2011 5:00,<mdl,5.027,1.020,0.409,2.212,1.005,0.226,1.518,1.731,<mdl,0.395,0.234,0.317,<mdl,0.416,1.668,0.108,0.073,2.127,0.116,0.910,0.394,1.610,,
19/02/2011 6:00,<mdl,6.232,1.902,0.393,4.024,0.900,0.320,2.448,2.431,0.222,0.574,0.439,0.349,0.057,0.647,1.965,0.150,0.082,2.776,0.102,1.229,0.511,1.920,,
19/02/2011 7:00,<mdl,5.577,1.040,0.223,2.723,1.339,0.415,1.135,1.958,0.477,0.884,0.183,0.289,<mdl,0.589,1.672,0.131,0.074,3.220,0.122,1.106,0.543,1.636,,
19/02/2011 8:00,<mdl,3.039,0.332,0.127,0.636,0.411,0.329,0.293,0.661,<mdl,1.161,0.133,0.069,<mdl,0.103,0.464,<mdl,<mdl,0.453,<mdl,0.203,0.109,0.476,,
