Timestamp,m/z 29,m/z 31,m/z 33,m/z 41,m/z 42,m/z 43,m/z 45,m/z 47,m/z 57,m/z 58,m/z 59,m/z 60,m/z 61,m/z 62,m/z 63,m/z 65,m/z 67,m/z 69,m/z 71,m/z 73,m/z 79,m/z 80,m/z 81,m/z 82,m/z 83,m/z 85,m/z 91,m/z 93,m/z 94,m/z 95,m/z 97,m/z 105,m/z 106,m/z 107,m/z 108,m/z 109,m/z 113,m/z 115,m/z 117,m/z 119,m/z 121,m/z 122,m/z 129,m/z 133,m/z 135,m/z 136,m/z 137,m/z 138,m/z 147,m/z 149,m/z 153,m/z 155
MDL,0.167,0.212,0.159,0.008,0.005,0.066,0.024,0.041,0.013,0.002,0.013,0.005,0.040,0.004,0.008,0.003,0.002,0.014,0.006,0.008,0.003,0.002,0.006,0.001,0.005,0.006,0.004,0.003,0.002,0.004,0.005,0.002,0.001,0.003,0.003,0.005,0.008,0.024,0.004,0.004,0.003,0.002,0.005,0.002,0.004,0.003,0.006,0.002,0.007,0.014,0.008,2.192
15/04/2012 14:00,0.564,5.060,8.380,0.420,0.144,4.733,1.643,0.791,0.417,0.026,2.143,0.095,2.649,0.046,<mdl,0.012,0.021,0.635,0.544,0.468,0.257,0.015,0.185,0.006,0.133,0.103,0.023,0.530,0.047,0.058,0.088,0.023,0.002,0.370,0.040,0.080,0.158,0.266,0.085,0.081,0.202,0.023,0.049,0.013,0.070,0.015,0.098,0.006,0.021,0.068,0.029,6.024
15/04/2012 15:00,0.368,4.199,7.369,0.417,0.147,4.384,1.368,0.782,0.489,0.028,1.874,0.092,2.378,0.041,<mdl,0.020,0.023,0.734,0.528,0.401,0.238,0.013,0.203,0.006,0.122,0.085,0.025,0.594,0.057,0.070,0.086,0.025,0.002,0.465,0.048,0.057,0.128,0.207,0.082,0.101,0.254,0.029,0.034,0.023,0.084,0.014,0.104,0.009,0.018,0.101,0.033,8.399
15/04/2012 16:00,0.209,2.895,6.269,0.350,0.128,4.099,1.004,0.806,0.416,0.022,1.785,0.085,2.311,0.034,<mdl,0.031,0.018,0.549,0.331,0.354,0.197,0.013,0.161,0.003,0.121,0.084,0.024,0.503,0.045,0.072,0.076,0.025,0.003,0.386,0.036,0.059,0.123,0.218,0.079,0.091,0.227,0.024,0.029,0.011,0.065,0.018,0.101,0.006,0.020,0.085,0.057,6.655
15/04/2012 17:00,<mdl,2.834,8.378,0.509,0.164,4.785,1.319,0.906,0.663,0.031,2.299,0.103,2.278,0.054,0.017,0.021,0.028,0.602,0.346,0.434,0.358,0.026,0.246,0.014,0.161,0.112,0.040,1.012,0.081,0.080,0.096,0.039,0.009,0.739,0.069,0.067,0.132,0.301,0.103,0.097,0.428,0.048,0.062,0.032,0.140,0.027,0.166,0.013,0.019,0.141,0.071,8.999
15/04/2012 18:00,<mdl,3.117,9.005,0.643,0.167,4.621,1.387,0.827,1.001,0.043,2.360,0.113,2.038,0.050,<mdl,0.016,0.027,0.548,0.335,0.431,0.434,0.025,0.228,0.007,0.188,0.121,0.040,1.176,0.093,0.093,0.124,0.053,0.011,0.807,0.086,0.062,0.132,0.341,0.093,0.100,0.495,0.060,0.080,0.030,0.173,0.028,0.143,0.015,0.035,0.137,0.110,11.879
15/04/2012 19:00,<mdl,2.147,9.343,0.708,0.163,4.113,1.388,0.757,0.932,0.048,3.020,0.120,1.536,0.050,<mdl,0.019,0.028,0.559,0.356,0.488,0.603,0.041,0.402,0.015,0.187,0.132,0.057,2.119,0.171,0.107,0.133,0.087,0.015,1.319,0.132,0.085,0.115,0.322,0.091,0.110,0.753,0.091,0.092,0.050,0.242,0.050,0.345,0.037,0.052,0.191,0.169,12.041
15/04/2012 20:00,<mdl,1.607,8.242,0.937,0.214,4.177,1.401,0.545,1.336,0.054,4.835,0.188,1.165,0.055,0.034,0.016,0.052,0.703,0.389,0.562,0.880,0.050,0.715,0.027,0.228,0.140,0.063,3.080,0.268,0.167,0.136,0.134,0.015,2.073,0.223,0.107,0.085,0.371,0.101,0.158,1.081,0.117,0.126,0.076,0.336,0.070,0.609,0.051,0.097,0.293,0.217,11.211
15/04/2012 21:00,<mdl,1.857,9.162,1.269,0.307,4.986,1.667,0.544,1.858,0.085,4.201,0.165,1.082,0.087,0.027,0.020,0.072,0.956,0.456,0.688,1.077,0.059,1.013,0.043,0.310,0.181,0.088,4.019,0.347,0.217,0.192,0.156,0.026,2.578,0.265,0.119,0.085,0.300,0.098,0.188,1.462,0.171,0.142,0.106,0.431,0.078,0.886,0.084,0.152,0.369,0.273,18.610
15/04/2012 22:00,<mdl,1.536,9.260,1.367,0.419,5.199,1.603,0.507,1.859,0.077,3.769,0.157,0.983,0.082,0.035,0.018,0.078,1.170,0.495,0.631,1.252,0.078,1.088,0.043,0.372,0.200,0.090,4.543,0.391,0.232,0.217,0.170,0.025,2.805,0.289,0.120,0.089,0.260,0.106,0.192,1.783,0.212,0.147,0.106,0.492,0.081,0.922,0.095,0.124,0.407,0.248,15.615
